orf_id	gene	transcript	orf_biotype	final_tier	is_peptidein	strand	chrom	n_exons	length_aa	length_bp	intervals_1based	intervals_0based	min_start_0based	max_end_0based	span_bp
c3riboseqorf102	nan	nan	mixed	4	False	+	chr3	2	62	189	chr3:94063015-94063138+chr3:94064437-94064501	chr3:94063014-94063138;chr3:94064436-94064501	94063014	94064501	1487
c3riboseqorf103	ARL6	ENST00000463745	uORF	4	False	+	chr3	1	33	102	chr3:97764779-97764880	chr3:97764778-97764880	97764778	97764880	102
c3riboseqorf104	ST3GAL6	ENST00000265261	uORF	2B	False	+	chr3	1	29	90	chr3:98732386-98732475	chr3:98732385-98732475	98732385	98732475	90
c3riboseqorf105	TMEM45A	ENST00000323523	uORF	4	False	+	chr3	1	34	105	chr3:100492770-100492874	chr3:100492769-100492874	100492769	100492874	105
c3riboseqorf106	ZBTB11-AS1	ENST00000609682	lncRNA-ORF	1B	True	+	chr3	1	88	267	chr3:101676645-101676911	chr3:101676644-101676911	101676644	101676911	267
c3riboseqorf107	NXPE3	ENST00000273347	uORF	2B	False	+	chr3	1	41	126	chr3:101785419-101785544	chr3:101785418-101785544	101785418	101785544	126
c3riboseqorf108	ALCAM	ENST00000306107	uORF	4	False	+	chr3	1	16	51	chr3:105367025-105367075	chr3:105367024-105367075	105367024	105367075	51
c3riboseqorf109	DUBR	ENST00000463143	lncRNA-ORF	4	False	+	chr3	1	24	75	chr3:107240742-107240816	chr3:107240741-107240816	107240741	107240816	75
c3riboseqorf110	DUBR	ENST00000463143	lncRNA-ORF	4	False	+	chr3	1	43	132	chr3:107240822-107240953	chr3:107240821-107240953	107240821	107240953	132
c3riboseqorf111	BBX	ENST00000325805	uORF	4	False	+	chr3	2	43	132	chr3:107526338-107526398+chr3:107645836-107645906	chr3:107526337-107526398;chr3:107645835-107645906	107526337	107645906	119569
c3riboseqorf112	SLC35A5	ENST00000468642	uORF	2B	False	+	chr3	1	57	174	chr3:112562063-112562236	chr3:112562062-112562236	112562062	112562236	174
c3riboseqorf113	SLC35A5	ENST00000492406	uoORF	2B	False	+	chr3	2	24	75	chr3:112562238-112562273+chr3:112563385-112563423	chr3:112562237-112562273;chr3:112563384-112563423	112562237	112563423	1186
c3riboseqorf114	CCDC80	ENST00000206423	uORF	1B	False	-	chr3	1	20	63	chr3:112640560-112640622	chr3:112640559-112640622	112640559	112640622	63
c3riboseqorf115	B4GALT4	ENST00000393765	uORF	1B	False	-	chr3	1	33	102	chr3:119236905-119237006	chr3:119236904-119237006	119236904	119237006	102
c3riboseqorf116	B4GALT4	ENST00000393765	uORF	4	False	-	chr3	1	30	93	chr3:119236964-119237056	chr3:119236963-119237056	119236963	119237056	93
c3riboseqorf117	TMEM39A	ENST00000468676	uORF	4	False	-	chr3	1	38	117	chr3:119463473-119463589	chr3:119463472-119463589	119463472	119463589	117
c3riboseqorf118	TIMMDC1	ENST00000494664	uORF	1B	False	+	chr3	1	19	60	chr3:119498632-119498691	chr3:119498631-119498691	119498631	119498691	60
c3riboseqorf119	GSK3B	ENST00000264235	uORF	2B	False	-	chr3	1	52	159	chr3:120094031-120094189	chr3:120094030-120094189	120094030	120094189	159
c3riboseqorf120	GSK3B	ENST00000264235	uORF	4	False	-	chr3	1	35	108	chr3:120094069-120094176	chr3:120094068-120094176	120094068	120094176	108
c3riboseqorf121	POLQ	ENST00000264233	uORF	4	False	-	chr3	1	22	69	chr3:121545898-121545966	chr3:121545897-121545966	121545897	121545966	69
c3riboseqorf122	FBXO40	ENST00000338040	uORF	4	False	+	chr3	1	22	69	chr3:121593415-121593483	chr3:121593414-121593483	121593414	121593483	69
c3riboseqorf123	WDR5B	ENST00000330689	uORF	4	False	-	chr3	1	29	90	chr3:122415717-122415806	chr3:122415716-122415806	122415716	122415806	90
c3riboseqorf124	SEC22A	ENST00000492595	intORF	4	False	+	chr3	1	39	120	chr3:123209258-123209377	chr3:123209257-123209377	123209257	123209377	120
c3riboseqorf125	ZNF148	ENST00000468369	uORF	4	False	-	chr3	2	17	54	chr3:125323421-125323444+chr3:125331158-125331187	chr3:125323420-125323444;chr3:125331157-125331187	125323420	125331187	7767
c3riboseqorf126	OSBPL11	ENST00000296220	uORF	4	False	-	chr3	1	23	72	chr3:125595023-125595094	chr3:125595022-125595094	125595022	125595094	72
c3riboseqorf127	MGLL	ENST00000265052	uoORF	4	False	-	chr3	2	30	93	chr3:127821832-127821838+chr3:127822309-127822394	chr3:127821831-127821838;chr3:127822308-127822394	127821831	127822394	563
c3riboseqorf128	GATA2	ENST00000696466	intORF	4	False	-	chr3	1	22	69	chr3:128487821-128487889	chr3:128487820-128487889	128487820	128487889	69
c3riboseqorf129	GATA2-AS1	ENST00000464242	lncRNA-ORF	4	False	+	chr3	1	103	312	chr3:128496732-128497043	chr3:128496731-128497043	128496731	128497043	312
c3riboseqorf130	MBD4	ENST00000393278	uoORF	2B	False	-	chr3	1	81	246	chr3:129439766-129440011	chr3:129439765-129440011	129439765	129440011	246
c3riboseqorf131	TMCC1-DT	ENST00000603884	lncRNA-ORF	4	False	+	chr3	1	19	60	chr3:129901763-129901822	chr3:129901762-129901822	129901762	129901822	60
c3riboseqorf132	TMCC1-DT	ENST00000605698	lncRNA-ORF	3	False	+	chr3	1	111	336	chr3:129905678-129906013	chr3:129905677-129906013	129905677	129906013	336
c3riboseqorf133	ATP2C1	ENST00000510168	uORF	4	False	+	chr3	1	49	150	chr3:130894590-130894739	chr3:130894589-130894739	130894589	130894739	150
c3riboseqorf134	ANAPC13	ENST00000510994	uORF	4	False	-	chr3	1	91	276	chr3:134485631-134485906	chr3:134485630-134485906	134485630	134485906	276
c3riboseqorf135	CEP63	ENST00000332047	uORF	4	False	+	chr3	1	31	96	chr3:134485747-134485842	chr3:134485746-134485842	134485746	134485842	96
c3riboseqorf136	CEP63	ENST00000332047	uoORF	2B	False	+	chr3	3	31	96	chr3:134486047-134486052+chr3:134495296-134495364+chr3:134507109-134507129	chr3:134486046-134486052;chr3:134495295-134495364;chr3:134507108-134507129	134486046	134507129	21083
c3riboseqorf137	CEP63	ENST00000513612	uORF	1B	False	+	chr3	2	88	267	chr3:134486340-134486556+chr3:134488019-134488068	chr3:134486339-134486556;chr3:134488018-134488068	134486339	134488068	1729
c3riboseqorf138	PPP2R3A	ENST00000264977	uORF	4	False	+	chr3	1	19	60	chr3:136001082-136001141	chr3:136001081-136001141	136001081	136001141	60
c3riboseqorf139	PPP2R3A	ENST00000334546	uORF	4	False	+	chr3	1	33	102	chr3:136022842-136022943	chr3:136022841-136022943	136022841	136022943	102
c3riboseqorf140	MSL2	ENST00000309993	uORF	1B	False	-	chr3	1	23	72	chr3:136195652-136195723	chr3:136195651-136195723	136195651	136195723	72
c3riboseqorf141	NCK1-DT	ENST00000461864	lncRNA-ORF	4	False	-	chr3	2	43	132	chr3:136846544-136846586+chr3:136861747-136861835	chr3:136846543-136846586;chr3:136861746-136861835	136846543	136861835	15292
c3riboseqorf142	NCK1-DT	ENST00000474250	lncRNA-ORF	4	False	-	chr3	2	41	126	chr3:136858567-136858603+chr3:136861747-136861835	chr3:136858566-136858603;chr3:136861746-136861835	136858566	136861835	3269
c3riboseqorf143	IL20RB	ENST00000329582	uORF	4	False	+	chr3	1	19	60	chr3:136958045-136958104	chr3:136958044-136958104	136958044	136958104	60
c3riboseqorf144	SPSB4	ENST00000310546	uORF	4	False	+	chr3	1	40	123	chr3:141051505-141051627	chr3:141051504-141051627	141051504	141051627	123
c3riboseqorf145	SPSB4	ENST00000310546	uORF	4	False	+	chr3	2	39	120	chr3:141051990-141051992+chr3:141065952-141066068	chr3:141051989-141051992;chr3:141065951-141066068	141051989	141066068	14079
c3riboseqorf146	PXYLP1	ENST00000514680	uORF	4	False	+	chr3	2	25	78	chr3:141231905-141231911+chr3:141234216-141234286	chr3:141231904-141231911;chr3:141234215-141234286	141231904	141234286	2382
c3riboseqorf147	ZBTB38	ENST00000510338	uORF	4	False	+	chr3	2	42	129	chr3:141402405-141402449+chr3:141403927-141404010	chr3:141402404-141402449;chr3:141403926-141404010	141402404	141404010	1606
c3riboseqorf148	ENSG00000268129	ENST00000597953	lncRNA-ORF	4	False	-	chr3	1	68	207	chr3:143001124-143001330	chr3:143001123-143001330	143001123	143001330	207
c3riboseqorf149	CHST2	ENST00000309575	uORF	1B	False	+	chr3	1	45	138	chr3:143120063-143120200	chr3:143120062-143120200	143120062	143120200	138
c3riboseqorf150	CHST2	ENST00000309575	uoORF	4	False	+	chr3	1	50	153	chr3:143120665-143120817	chr3:143120664-143120817	143120664	143120817	153
c3riboseqorf151	RNF13	ENST00000344229	uORF	4	False	+	chr3	1	129	390	chr3:149812902-149813291	chr3:149812901-149813291	149812901	149813291	390
c3riboseqorf152	SERP1	ENST00000479209	uORF	4	False	-	chr3	2	167	504	chr3:150546864-150547177+chr3:150602944-150603133	chr3:150546863-150547177;chr3:150602943-150603133	150546863	150603133	56270
c3riboseqorf153	MBNL1-AS1	ENST00000445466	lncRNA-ORF	4	False	-	chr3	2	117	354	chr3:152268809-152269072+chr3:152269439-152269528	chr3:152268808-152269072;chr3:152269438-152269528	152268808	152269528	720
c3riboseqorf154	MBNL1	ENST00000495875	uORF	1B	True	+	chr3	1	16	51	chr3:152269026-152269076	chr3:152269025-152269076	152269025	152269076	51
c3riboseqorf155	MBNL1	ENST00000324210	uORF	2B	False	+	chr3	1	45	138	chr3:152299843-152299980	chr3:152299842-152299980	152299842	152299980	138
c3riboseqorf156	P2RY1	ENST00000305097	uORF	4	False	+	chr3	1	28	87	chr3:152835325-152835411	chr3:152835324-152835411	152835324	152835411	87
c3riboseqorf157	TIPARP-AS1	ENST00000492937	lncRNA-ORF	4	False	-	chr3	2	65	198	chr3:156672004-156672130+chr3:156674207-156674277	chr3:156672003-156672130;chr3:156674206-156674277	156672003	156674277	2274
c3riboseqorf158	LINC00881	ENST00000467995	lncRNA-ORF	4	False	+	chr3	1	34	105	chr3:157089944-157090048	chr3:157089943-157090048	157089943	157090048	105
c3riboseqorf159	LINC00881	ENST00000467995	lncRNA-ORF	4	False	+	chr3	2	44	135	chr3:157090035-157090122+chr3:157099483-157099529	chr3:157090034-157090122;chr3:157099482-157099529	157090034	157099529	9495
c3riboseqorf160	VEPH1	ENST00000392832	uORF	4	False	-	chr3	1	41	126	chr3:157499402-157499527	chr3:157499401-157499527	157499401	157499527	126
c3riboseqorf161	SCHIP1	ENST00000445224	uORF	4	False	+	chr3	1	81	246	chr3:159839938-159840183	chr3:159839937-159840183	159839937	159840183	246
c3riboseqorf162	IFT80	ENST00000326448	uORF	1B	False	-	chr3	1	19	60	chr3:160399147-160399206	chr3:160399146-160399206	160399146	160399206	60
c3riboseqorf163	PDCD10	ENST00000392750	uORF	2B	False	-	chr3	1	17	54	chr3:167720158-167720211	chr3:167720157-167720211	167720157	167720211	54
c3riboseqorf164	GOLIM4	ENST00000470487	uORF	4	False	-	chr3	1	38	117	chr3:168095443-168095559	chr3:168095442-168095559	168095442	168095559	117
c3riboseqorf165	nan	nan	lncRNA-ORF	4	False	+	chr3	1	21	66	chr3:169772953-169773018	chr3:169772952-169773018	169772952	169773018	66
c3riboseqorf166	FNDC3B	ENST00000415807	uoORF	2A	True	+	chr3	2	44	135	chr3:172112476-172112590+chr3:172133471-172133490	chr3:172112475-172112590;chr3:172133470-172133490	172112475	172133490	21015
c3riboseqorf167	ZMAT3	ENST00000311417	uoORF	4	False	-	chr3	1	19	60	chr3:179067715-179067774	chr3:179067714-179067774	179067714	179067774	60
c3riboseqorf168	PIK3CA	ENST00000263967	uORF	2B	False	+	chr3	2	26	81	chr3:179148566-179148603+chr3:179198750-179198792	chr3:179148565-179148603;chr3:179198749-179198792	179148565	179198792	50227
c3riboseqorf169	ZNF639	ENST00000326361	uORF	2B	False	+	chr3	1	45	138	chr3:179325167-179325304	chr3:179325166-179325304	179325166	179325304	138
c3riboseqorf170	DNAJC19	ENST00000382564	uoORF	4	False	-	chr3	2	20	63	chr3:180988214-180988229+chr3:180989600-180989646	chr3:180988213-180988229;chr3:180989599-180989646	180988213	180989646	1433
c3riboseqorf171	ATP11B	ENST00000323116	uORF	1B	False	+	chr3	1	23	72	chr3:182793508-182793579	chr3:182793507-182793579	182793507	182793579	72
c3riboseqorf172	B3GNT5	ENST00000326505	uORF	2B	False	+	chr3	1	28	87	chr3:183269558-183269644	chr3:183269557-183269644	183269557	183269644	87
c3riboseqorf173	B3GNT5	ENST00000326505	uORF	2B	False	+	chr3	1	25	78	chr3:183269703-183269780	chr3:183269702-183269780	183269702	183269780	78
c3riboseqorf174	KLHL24	ENST00000242810	uORF	4	False	+	chr3	2	18	57	chr3:183643532-183643542+chr3:183650296-183650341	chr3:183643531-183643542;chr3:183650295-183650341	183643531	183650341	6810
c3riboseqorf175	PARL	ENST00000317096	uoORF	2B	False	-	chr3	1	40	123	chr3:183884747-183884869	chr3:183884746-183884869	183884746	183884869	123
c3riboseqorf176	ABCC5	ENST00000334444	uORF	4	False	-	chr3	2	22	69	chr3:184014434-184014447+chr3:184017830-184017884	chr3:184014433-184014447;chr3:184017829-184017884	184014433	184017884	3451
c3riboseqorf177	EIF4G1	ENST00000352767	uORF	4	False	+	chr3	1	20	63	chr3:184314610-184314672	chr3:184314609-184314672	184314609	184314672	63
c3riboseqorf178	EIF4G1	ENST00000346169	uoORF	1B	False	+	chr3	2	28	87	chr3:184315497-184315545+chr3:184315763-184315800	chr3:184315496-184315545;chr3:184315762-184315800	184315496	184315800	304
c3riboseqorf179	FAM131A	ENST00000340957	uORF	4	False	+	chr3	2	31	96	chr3:184336087-184336123+chr3:184337311-184337369	chr3:184336086-184336123;chr3:184337310-184337369	184336086	184337369	1283
c3riboseqorf180	ETV5	ENST00000306376	uoORF	2B	False	-	chr3	2	41	126	chr3:186105676-186105712+chr3:186105824-186105912	chr3:186105675-186105712;chr3:186105823-186105912	186105675	186105912	237
c3riboseqorf181	TBCCD1	ENST00000338733	uoORF	4	False	-	chr3	1	23	72	chr3:186564299-186564370	chr3:186564298-186564370	186564298	186564370	72
c3riboseqorf182	ST6GAL1	ENST00000169298	uORF	4	False	+	chr3	1	23	72	chr3:187038742-187038813	chr3:187038741-187038813	187038741	187038813	72
c3riboseqorf183	BCL6	ENST00000406870	uORF	4	False	-	chr3	2	19	60	chr3:187734882-187734907+chr3:187745410-187745443	chr3:187734881-187734907;chr3:187745409-187745443	187734881	187745443	10562
c3riboseqorf184	LPP-AS2	ENST00000605573	lncRNA-ORF	4	False	-	chr3	1	111	336	chr3:188153282-188153617	chr3:188153281-188153617	188153281	188153617	336
c3riboseqorf185	OPA1	ENST00000361510	uoORF	2B	False	+	chr3	2	67	204	chr3:193593226-193593409+chr3:193614723-193614742	chr3:193593225-193593409;chr3:193614722-193614742	193593225	193614742	21517
c3riboseqorf186	TMEM44-AS1	ENST00000447982	lncRNA-ORF	4	False	+	chr3	1	70	213	chr3:194584046-194584258	chr3:194584045-194584258	194584045	194584258	213
c3riboseqorf187	RNF168	ENST00000318037	uORF	4	False	-	chr3	1	33	102	chr3:196503294-196503395	chr3:196503293-196503395	196503293	196503395	102
c3riboseqorf188	RNF168	ENST00000318037	uORF	4	False	-	chr3	1	22	69	chr3:196503398-196503466	chr3:196503397-196503466	196503397	196503466	69
c3riboseqorf189	RNF168	ENST00000318037	uORF	4	False	-	chr3	1	21	66	chr3:196503549-196503614	chr3:196503548-196503614	196503548	196503614	66
c3riboseqorf190	FBXO45	ENST00000311630	uORF	4	False	+	chr3	1	21	66	chr3:196568686-196568751	chr3:196568685-196568751	196568685	196568751	66
c3riboseqorf191	SENP5	ENST00000323460	uoORF	4	False	+	chr3	1	22	69	chr3:196885169-196885237	chr3:196885168-196885237	196885168	196885237	69
c3riboseqorf192	SENP5	ENST00000323460	intORF	4	False	+	chr3	1	23	72	chr3:196885399-196885470	chr3:196885398-196885470	196885398	196885470	72
c3riboseqorf193	NCBP2AS2	ENST00000602845	dORF	2B	False	+	chr3	1	63	192	chr3:196943241-196943432	chr3:196943240-196943432	196943240	196943432	192
c3riboseqorf194	BDH1	ENST00000392379	uORF	2B	False	-	chr3	1	28	87	chr3:197554593-197554679	chr3:197554592-197554679	197554592	197554679	87
c4riboseqorf1	PCGF3	ENST00000362003	uORF	4	False	+	chr4	1	29	90	chr4:730973-731062	chr4:730972-731062	730972	731062	90
c4riboseqorf2	CTBP1	ENST00000382952	uORF	1B	True	-	chr4	1	32	99	chr4:1241335-1241433	chr4:1241334-1241433	1241334	1241433	99
c4riboseqorf4	CTBP1-DT	ENST00000507044	lncRNA-ORF	4	False	+	chr4	2	124	375	chr4:1249477-1249702+chr4:1250111-1250259	chr4:1249476-1249702;chr4:1250110-1250259	1249476	1250259	783
c4riboseqorf3	CTBP1-DT	ENST00000578730	lncRNA-ORF	1B	False	+	chr4	1	110	333	chr4:1249477-1249809	chr4:1249476-1249809	1249476	1249809	333
c4riboseqorf5	CTBP1-DT	ENST00000578730	lncRNA-ORF	4	False	+	chr4	1	91	276	chr4:1250262-1250537	chr4:1250261-1250537	1250261	1250537	276
c4riboseqorf6	TMEM129	ENST00000536901	uORF	2B	False	-	chr4	1	53	162	chr4:1721084-1721245	chr4:1721083-1721245	1721083	1721245	162
c4riboseqorf7	SH3BP2	ENST00000435136	uoORF	4	False	+	chr4	2	46	141	chr4:2812352-2812477+chr4:2820614-2820628	chr4:2812351-2812477;chr4:2820613-2820628	2812351	2820628	8277
c4riboseqorf8	MFSD10	ENST00000329687	uORF	4	False	-	chr4	1	127	384	chr4:2934062-2934445	chr4:2934061-2934445	2934061	2934445	384
c4riboseqorf9	NOP14-AS1	ENST00000505731	lncRNA-ORF	4	False	+	chr4	1	43	132	chr4:2935076-2935207	chr4:2935075-2935207	2935075	2935207	132
c4riboseqorf10	HTT	ENST00000355072	uORF	4	False	+	chr4	1	21	66	chr4:3074701-3074766	chr4:3074700-3074766	3074700	3074766	66
c4riboseqorf11	JAKMIP1	ENST00000409021	uORF	4	False	-	chr4	2	55	168	chr4:6112897-6112997+chr4:6200253-6200319	chr4:6112896-6112997;chr4:6200252-6200319	6112896	6200319	87423
c4riboseqorf12	ZNF518B	ENST00000326756	uORF	2B	False	-	chr4	1	25	78	chr4:10446374-10446451	chr4:10446373-10446451	10446373	10446451	78
c4riboseqorf13	CC2D2A	ENST00000424120	uORF	2B	False	+	chr4	1	23	72	chr4:15469906-15469977	chr4:15469905-15469977	15469905	15469977	72
c4riboseqorf14	FAM200B	ENST00000505260	uORF	4	False	+	chr4	1	18	57	chr4:15686306-15686362	chr4:15686305-15686362	15686305	15686362	57
c4riboseqorf15	LDB2	ENST00000304523	uoORF	2B	False	-	chr4	1	51	156	chr4:16898380-16898535	chr4:16898379-16898535	16898379	16898535	156
c4riboseqorf16	DCAF16	ENST00000382247	uORF	4	False	-	chr4	1	20	63	chr4:17804430-17804492	chr4:17804429-17804492	17804429	17804492	63
c4riboseqorf17	DCAF16	ENST00000382247	uORF	4	False	-	chr4	1	25	78	chr4:17804583-17804660	chr4:17804582-17804660	17804582	17804660	78
c4riboseqorf18	ADGRA3	ENST00000334304	uORF	2B	False	-	chr4	1	34	105	chr4:22515827-22515931	chr4:22515826-22515931	22515826	22515931	105
c4riboseqorf19	RBPJ	ENST00000342320	uORF	2B	False	+	chr4	1	16	51	chr4:26362457-26362507	chr4:26362456-26362507	26362456	26362507	51
c4riboseqorf20	RBPJ	ENST00000342320	uORF	4	False	+	chr4	1	22	69	chr4:26362526-26362594	chr4:26362525-26362594	26362525	26362594	69
c4riboseqorf21	nan	nan	mixed	1B	False	+	chr4	1	75	228	chr4:26860717-26860944	chr4:26860716-26860944	26860716	26860944	228
c4riboseqorf22	PCDH7	ENST00000695919	uORF	4	False	+	chr4	1	21	66	chr4:30720547-30720612	chr4:30720546-30720612	30720546	30720612	66
c4riboseqorf23	PCDH7	ENST00000695919	uORF	2B	False	+	chr4	1	18	57	chr4:30720631-30720687	chr4:30720630-30720687	30720630	30720687	57
c4riboseqorf24	RPL9	ENST00000449470	uORF	4	False	-	chr4	1	40	123	chr4:39458762-39458884	chr4:39458761-39458884	39458761	39458884	123
c4riboseqorf25	UGDH	ENST00000515021	uORF	2B	False	-	chr4	1	61	186	chr4:39527315-39527500	chr4:39527314-39527500	39527314	39527500	186
c4riboseqorf26	UGDH-AS1	ENST00000504032	lncRNA-ORF	2B	False	+	chr4	2	76	231	chr4:39528188-39528338+chr4:39531969-39532048	chr4:39528187-39528338;chr4:39531968-39532048	39528187	39532048	3861
c4riboseqorf27	N4BP2	ENST00000515550	uORF	4	False	+	chr4	1	17	54	chr4:40073464-40073517	chr4:40073463-40073517	40073463	40073517	54
c4riboseqorf28	APBB2	ENST00000508593	uORF	4	False	-	chr4	2	21	66	chr4:41033268-41033304+chr4:41065576-41065604	chr4:41033267-41033304;chr4:41065575-41065604	41033267	41065604	32337
c4riboseqorf29	nan	nan	mixed	2B	False	-	chr4	1	25	78	chr4:41143022-41143099	chr4:41143021-41143099	41143021	41143099	78
c4riboseqorf30	nan	nan	mixed	1B	True	+	chr4	1	42	129	chr4:41990504-41990632	chr4:41990503-41990632	41990503	41990632	129
c4riboseqorf31	ATP10D	ENST00000273859	uORF	2B	False	+	chr4	1	16	51	chr4:47485406-47485456	chr4:47485405-47485456	47485405	47485456	51
c4riboseqorf32	SLAIN2	ENST00000264313	uORF	4	False	+	chr4	1	32	99	chr4:48341548-48341646	chr4:48341547-48341646	48341547	48341646	99
c4riboseqorf33	nan	nan	mixed	4	False	-	chr4	2	30	93	chr4:48634463-48634490+chr4:48710519-48710583	chr4:48634462-48634490;chr4:48710518-48710583	48634462	48710583	76121
c4riboseqorf34	OCIAD1	ENST00000264312	uORF	2A	True	+	chr4	1	34	105	chr4:48831102-48831206	chr4:48831101-48831206	48831101	48831206	105
c4riboseqorf35	USP46-DT	ENST00000503051	lncRNA-ORF	2B	False	+	chr4	2	54	165	chr4:52659557-52659676+chr4:52660892-52660936	chr4:52659556-52659676;chr4:52660891-52660936	52659556	52660936	1380
c4riboseqorf36	DANCR	ENST00000411630	lncRNA-ORF	1B	False	+	chr4	1	59	180	chr4:52713674-52713853	chr4:52713673-52713853	52713673	52713853	180
c4riboseqorf37	ERVMER34-1	ENST00000443173	uORF	4	False	-	chr4	1	16	51	chr4:52745711-52745761	chr4:52745710-52745761	52745710	52745761	51
c4riboseqorf38	ERVMER34-1	ENST00000443173	uORF	4	False	-	chr4	1	16	51	chr4:52745857-52745907	chr4:52745856-52745907	52745856	52745907	51
c4riboseqorf39	KDR	ENST00000263923	uORF	4	False	-	chr4	1	68	207	chr4:55125358-55125564	chr4:55125357-55125564	55125357	55125564	207
c4riboseqorf40	CLOCK	ENST00000513440	uORF	4	False	-	chr4	1	20	63	chr4:55509942-55510004	chr4:55509941-55510004	55509941	55510004	63
c4riboseqorf41	REST	ENST00000309042	uORF	4	False	+	chr4	1	39	120	chr4:56907927-56908046	chr4:56907926-56908046	56907926	56908046	120
c4riboseqorf42	NOA1	ENST00000264230	intORF	1B	False	-	chr4	1	114	345	chr4:56977168-56977512	chr4:56977167-56977512	56977167	56977512	345
c4riboseqorf43	TECRL	ENST00000381210	uoORF	4	False	-	chr4	1	37	114	chr4:64409266-64409379	chr4:64409265-64409379	64409265	64409379	114
c4riboseqorf44	UBA6-DT	ENST00000498917	lncRNA-ORF	4	False	+	chr4	2	101	306	chr4:67701296-67701484+chr4:67720422-67720538	chr4:67701295-67701484;chr4:67720421-67720538	67701295	67720538	19243
c4riboseqorf45	UBA6-DT	ENST00000498917	lncRNA-ORF	4	False	+	chr4	1	28	87	chr4:67701369-67701455	chr4:67701368-67701455	67701368	67701455	87
c4riboseqorf46	UBA6-DT	ENST00000514109	lncRNA-ORF	4	False	+	chr4	3	93	282	chr4:67701419-67701484+chr4:67716923-67717021+chr4:67720422-67720538	chr4:67701418-67701484;chr4:67716922-67717021;chr4:67720421-67720538	67701418	67720538	19120
c4riboseqorf47	MTHFD2L	ENST00000325278	intORF	4	False	+	chr4	1	37	114	chr4:74174508-74174621	chr4:74174507-74174621	74174507	74174621	114
c4riboseqorf48	LINC02562	ENST00000561705	lncRNA-ORF	4	False	-	chr4	1	21	66	chr4:75084620-75084685	chr4:75084619-75084685	75084619	75084685	66
c4riboseqorf49	CDKL2	ENST00000307465	uORF	4	False	-	chr4	1	44	135	chr4:75630142-75630276	chr4:75630141-75630276	75630141	75630276	135
c4riboseqorf50	USO1	ENST00000514213	uORF	4	False	+	chr4	1	34	105	chr4:75724610-75724714	chr4:75724609-75724714	75724609	75724714	105
c4riboseqorf51	SHROOM3	ENST00000296043	intORF	4	False	+	chr4	1	40	123	chr4:76710158-76710280	chr4:76710157-76710280	76710157	76710280	123
c4riboseqorf52	nan	nan	mixed	1A	False	-	chr4	2	59	180	chr4:77066298-77066405+chr4:77075472-77075543	chr4:77066297-77066405;chr4:77075471-77075543	77066297	77075543	9246
c4riboseqorf53	CCNI	ENST00000507788	uORF	4	False	-	chr4	1	24	75	chr4:77075710-77075784	chr4:77075709-77075784	77075709	77075784	75
c4riboseqorf54	FGF5	ENST00000312465	uoORF	4	False	+	chr4	1	38	117	chr4:80266712-80266828	chr4:80266711-80266828	80266711	80266828	117
c4riboseqorf55	SCD5	ENST00000319540	uORF	4	False	-	chr4	1	16	51	chr4:82798716-82798766	chr4:82798715-82798766	82798715	82798766	51
c4riboseqorf56	SEC31A	ENST00000507051	uORF	1B	False	-	chr4	2	60	183	chr4:82900105-82900223+chr4:82900372-82900435	chr4:82900104-82900223;chr4:82900371-82900435	82900104	82900435	331
c4riboseqorf57	SEC31A	ENST00000507676	uORF	1B	True	-	chr4	2	52	159	chr4:82900167-82900223+chr4:82900334-82900435	chr4:82900166-82900223;chr4:82900333-82900435	82900166	82900435	269
c4riboseqorf58	nan	nan	mixed	4	False	-	chr4	1	76	231	chr4:82900205-82900435	chr4:82900204-82900435	82900204	82900435	231
c4riboseqorf59	ARHGAP24	ENST00000395184	uORF	4	False	+	chr4	1	82	249	chr4:85475200-85475448	chr4:85475199-85475448	85475199	85475448	249
c4riboseqorf60	PTPN13	ENST00000411767	uORF	1B	True	+	chr4	1	31	96	chr4:86594356-86594451	chr4:86594355-86594451	86594355	86594451	96
c4riboseqorf61	PTPN13	ENST00000411767	uORF	1B	False	+	chr4	1	54	165	chr4:86594600-86594764	chr4:86594599-86594764	86594599	86594764	165
c4riboseqorf62	AFF1	ENST00000307808	uORF	4	False	+	chr4	1	26	81	chr4:87007192-87007272	chr4:87007191-87007272	87007191	87007272	81
c4riboseqorf63	NUDT9	ENST00000302174	uORF	4	False	+	chr4	1	19	60	chr4:87422692-87422751	chr4:87422691-87422751	87422691	87422751	60
c4riboseqorf64	FAM13A	ENST00000395002	uoORF	2B	False	-	chr4	1	39	120	chr4:88822994-88823113	chr4:88822993-88823113	88822993	88823113	120
c4riboseqorf65	FAM13A	ENST00000264344	uORF	4	False	-	chr4	1	35	108	chr4:89057012-89057119	chr4:89057011-89057119	89057011	89057119	108
c4riboseqorf66	TIGD2	ENST00000603357	uORF	4	False	+	chr4	1	23	72	chr4:89111678-89111749	chr4:89111677-89111749	89111677	89111749	72
c4riboseqorf67	GPRIN3	ENST00000609438	uORF	1B	False	-	chr4	2	31	96	chr4:89250206-89250233+chr4:89307615-89307682	chr4:89250205-89250233;chr4:89307614-89307682	89250205	89307682	57477
c4riboseqorf68	ENSG00000251095	ENST00000513572	lncRNA-ORF	4	False	+	chr4	1	18	57	chr4:89681573-89681629	chr4:89681572-89681629	89681572	89681629	57
c4riboseqorf69	FLJ20021	ENST00000527564	lncRNA-ORF	4	False	+	chr4	1	130	393	chr4:101348381-101348773	chr4:101348380-101348773	101348380	101348773	393
