uniprot_id	entry_name	gene_symbol	protein_name	pe_level	length
Q7Z769	S35E3_HUMAN	SLC35E3	Solute carrier family 35 member E3	1	313
Q86VZ5	SMS1_HUMAN	SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1	1	413
Q86XE3	MICU3_HUMAN	MICU3	Calcium uptake protein 3, mitochondrial	1	530
Q8IVU3	HERC6_HUMAN	HERC6	Probable E3 ISG15--protein ligase HERC6	1	1022
Q8IVW1	AL17A_HUMAN	ARL17A	Putative ADP-ribosylation factor-like protein 17A	2	177
Q8N1G1	REXO1_HUMAN	REXO1	RNA exonuclease 1 homolog	1	1221
Q8N4B5	PRR18_HUMAN	PRR18	Proline-rich protein 18	1	295
Q8NAA5	LR75A_HUMAN	LRRC75A	Leucine-rich repeat-containing protein 75A	1	344
Q8NC60	NOA1_HUMAN	NOA1	Nitric oxide-associated protein 1	1	698
Q8TBP0	TBC16_HUMAN	TBC1D16	TBC1 domain family member 16	1	767
Q8TDW0	LRC8C_HUMAN	LRRC8C	Volume-regulated anion channel subunit LRRC8C	1	803
Q8TER0	SNED1_HUMAN	SNED1	Sushi, nidogen and EGF-like domain-containing protein 1	1	1413
Q8WXK1	ASB15_HUMAN	ASB15	Ankyrin repeat and SOCS box protein 15	1	588
Q93050	VPP1_HUMAN	ATP6V0A1	V-type proton ATPase 116 kDa subunit a 1	1	837
Q969H9	DIRC1_HUMAN	DIRC1	Disrupted in renal carcinoma protein 1	2	104
Q969M7	UBE2F_HUMAN	UBE2F	NEDD8-conjugating enzyme UBE2F	1	185
Q96AT9	RPE_HUMAN	RPE	Ribulose-phosphate 3-epimerase	1	228
Q96BN8	OTUL_HUMAN	OTULIN	Ubiquitin thioesterase otulin	1	352
Q96F07	CYFP2_HUMAN	CYFIP2	Cytoplasmic FMR1-interacting protein 2	1	1278
Q96GS4	BORC6_HUMAN	BORCS6	BLOC-1-related complex subunit 6	1	357
Q96LL4	CH048_HUMAN	C8orf48	Uncharacterized protein C8orf48	1	319
Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7	1	2140
Q96SL1	DIRC2_HUMAN	SLC49A4	Solute carrier family 49 member 4	1	478
Q99440	CD006_HUMAN	LINC01587	Uncharacterized protein encoded by LINC01587	1	93
Q9BR61	ACBD6_HUMAN	ACBD6	Acyl-CoA-binding domain-containing protein 6	1	282
Q9BSE5	GDAH_HUMAN	AGMAT	Guanidino acid hydrolase, mitochondrial	1	352
Q9BT43	RPC7L_HUMAN	POLR3GL	DNA-directed RNA polymerase III subunit RPC7-like	1	218
Q9BYR5	KRA42_HUMAN	KRTAP4-2	Keratin-associated protein 4-2	1	136
Q9BZR9	TRIM8_HUMAN	TRIM8	E3 ubiquitin-protein ligase TRIM8	1	551
Q9H115	SNAB_HUMAN	NAPB	Beta-soluble NSF attachment protein	1	298
Q9H2E6	SEM6A_HUMAN	SEMA6A	Semaphorin-6A	1	1030
Q9H469	FXL15_HUMAN	FBXL15	F-box/LRR-repeat protein 15	1	300
Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	1	567
Q9H8W4	PKHF2_HUMAN	PLEKHF2	Pleckstrin homology domain-containing family F member 2	1	249
Q9H9C1	SPE39_HUMAN	VIPAS39	Spermatogenesis-defective protein 39 homolog	1	493
Q9NPF2	CHSTB_HUMAN	CHST11	Carbohydrate sulfotransferase 11	1	352
Q9NRS4	TMPS4_HUMAN	TMPRSS4	Transmembrane protease serine 4	1	437
Q9NX61	T161A_HUMAN	TMEM161A	Transmembrane protein 161A	1	479
Q9NZN5	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12	1	1544
Q9UBS8	RNF14_HUMAN	RNF14	E3 ubiquitin-protein ligase RNF14	1	474
Q9UHF5	IL17B_HUMAN	IL17B	Interleukin-17B	1	180
Q9UIV1	CNOT7_HUMAN	CNOT7	CCR4-NOT transcription complex subunit 7	1	285
Q9UNQ0	ABCG2_HUMAN	ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2	1	655
Q9Y2B2	PIGL_HUMAN	PIGL	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	1	252
Q9Y2H8	ZN510_HUMAN	ZNF510	Zinc finger protein 510	1	683
Q9Y6A1	POMT1_HUMAN	POMT1	Protein O-mannosyl-transferase 1	1	747
A0A3B3IT33	TR51G_HUMAN	TRIM51G	Tripartite motif-containing protein 51G	1	452
A0A5B9	TRBC2_HUMAN	TRBC2	T cell receptor beta constant 2	1	178
A1A580	KR231_HUMAN	KRTAP23-1	Keratin-associated protein 23-1	1	65
A6NE02	BTBDH_HUMAN	BTBD17	BTB/POZ domain-containing protein 17	1	478
A6XGL0	YJEN3_HUMAN	YJEFN3	YjeF N-terminal domain-containing protein 3	1	299
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1	1018
O00254	PAR3_HUMAN	F2RL2	Proteinase-activated receptor 3	1	374
O00321	ETV2_HUMAN	ETV2	ETS translocation variant 2	2	342
O00451	GFRA2_HUMAN	GFRA2	GDNF family receptor alpha-2	1	464
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1	246
O15519	CFLAR_HUMAN	CFLAR	CASP8 and FADD-like apoptosis regulator	1	480
O43709	BUD23_HUMAN	BUD23	18S rRNA (guanine-N(7))-methyltransferase	1	281
O94864	ST65G_HUMAN	SUPT7L	STAGA complex 65 subunit gamma	1	414
O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7	1	489
O94929	ABLM3_HUMAN	ABLIM3	Actin-binding LIM protein 3	1	683
O95936	EOMES_HUMAN	EOMES	Eomesodermin homolog	1	686
P05112	IL4_HUMAN	IL4	Interleukin-4	1	153
P09630	HXC6_HUMAN	HOXC6	Homeobox protein Hox-C6	1	235
P0DJ93	SIM13_HUMAN	SMIM13	Small integral membrane protein 13	1	91
P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	1	919
P29597	TYK2_HUMAN	TYK2	Non-receptor tyrosine-protein kinase TYK2	1	1187
P29972	AQP1_HUMAN	AQP1	Aquaporin-1	1	269
P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	1	1462
P30542	AA1R_HUMAN	ADORA1	Adenosine receptor A1	1	326
P50225	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1	1	295
P59190	RAB15_HUMAN	RAB15	Ras-related protein Rab-15	1	212
P62244	RS15A_HUMAN	RPS15A	Small ribosomal subunit protein uS8	1	130
Q05195	MAD1_HUMAN	MXD1	Max dimerization protein 1	1	221
Q08AI8	MB214_HUMAN	MAB21L4	Protein mab-21-like 4	1	447
Q12918	KLRB1_HUMAN	KLRB1	Killer cell lectin-like receptor subfamily B member 1	1	225
Q13268	DHRS2_HUMAN	DHRS2	Dehydrogenase/reductase SDR family member 2, mitochondrial	1	280
Q13503	MED21_HUMAN	MED21	Mediator of RNA polymerase II transcription subunit 21	1	144
Q13822	ENPP2_HUMAN	ENPP2	Autotaxin	1	863
Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	1	428
Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	1	201
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N(1))-methyltransferase	1	509
Q3SXZ3	ZN718_HUMAN	ZNF718	Zinc finger protein 718	1	478
Q4ZIN3	MBRL_HUMAN	TMEM259	Membralin	1	620
Q5I0G3	MDH1B_HUMAN	MDH1B	Putative malate dehydrogenase 1B	1	518
Q5SSG8	MUC21_HUMAN	MUC21	Mucin-21	1	566
Q5T5C0	STXB5_HUMAN	STXBP5	Syntaxin-binding protein 5	1	1151
Q6ZVF9	GRIN3_HUMAN	GPRIN3	G protein-regulated inducer of neurite outgrowth 3	1	776
Q86XA9	HTR5A_HUMAN	HEATR5A	HEAT repeat-containing protein 5A	1	2040
Q8IU57	INLR1_HUMAN	IFNLR1	Interferon lambda receptor 1	1	520
Q8IVS8	GLCTK_HUMAN	GLYCTK	Glycerate kinase	1	523
Q8IXT5	RB12B_HUMAN	RBM12B	RNA-binding protein 12B	1	1001
Q8IZC4	RTKN2_HUMAN	RTKN2	Rhotekin-2	1	609
Q8N0U8	VKORL_HUMAN	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1	1	176
Q8N2H4	SYS1_HUMAN	SYS1	Protein SYS1 homolog	1	156
Q8N4F0	BPIB2_HUMAN	BPIFB2	BPI fold-containing family B member 2	1	458
Q8N806	UBR7_HUMAN	UBR7	Putative E3 ubiquitin-protein ligase UBR7	1	425
Q8NE28	STKL1_HUMAN	STKLD1	Serine/threonine kinase-like domain-containing protein STKLD1	1	680
Q8TAG6	VEXIN_HUMAN	VXN	Vexin	1	207
Q8TAS1	UHMK1_HUMAN	UHMK1	Serine/threonine-protein kinase Kist	1	419
Q8TBE9	NANP_HUMAN	NANP	N-acylneuraminate-9-phosphatase	1	248
Q8TC05	SAXO6_HUMAN	SAXO6	Stabilizer of axonemal microtubules 6	1	714
Q8WTU2	SRB4D_HUMAN	SSC4D	Scavenger receptor cysteine-rich domain-containing group B protein	1	575
Q8WUY1	THEM6_HUMAN	THEM6	Protein THEM6	1	208
Q8WVN8	UB2Q2_HUMAN	UBE2Q2	Ubiquitin-conjugating enzyme E2 Q2	1	375
Q92911	SC5A5_HUMAN	SLC5A5	Sodium/iodide cotransporter	1	643
Q969I3	GLYL1_HUMAN	GLYATL1	Glycine N-acyltransferase-like protein 1	1	302
Q96C00	ZBTB9_HUMAN	ZBTB9	Zinc finger and BTB domain-containing protein 9	1	473
Q96EP9	NTCP4_HUMAN	SLC10A4	Putative sodium/bile acid cotransporter 4	1	437
Q96F63	CCD97_HUMAN	CCDC97	Coiled-coil domain-containing protein 97	1	343
Q96FL9	GLT14_HUMAN	GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14	1	552
Q96G97	BSCL2_HUMAN	BSCL2	Seipin	1	398
Q96GM5	SMRD1_HUMAN	SMARCD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	1	515
Q96HQ0	ZN419_HUMAN	ZNF419	Zinc finger protein 419	1	510
Q96KR6	MIMS2_HUMAN	MIMS2	Mitochondrial inner membrane scaffold 2	1	192
Q96LB2	MRGX1_HUMAN	MRGPRX1	Mas-related G protein-coupled receptor member X1	1	322
Q96LC7	SIG10_HUMAN	SIGLEC10	Sialic acid-binding Ig-like lectin 10	1	697
Q96LP6	CL042_HUMAN	C12orf42	Uncharacterized protein C12orf42	1	360
Q96MT7	CFA44_HUMAN	CFAP44	Cilia- and flagella-associated protein 44	1	1854
Q96P71	NECA3_HUMAN	NECAB3	N-terminal EF-hand calcium-binding protein 3	1	396
Q99848	EBP2_HUMAN	EBNA1BP2	Probable rRNA-processing protein EBP2	1	306
Q9BU19	ZN692_HUMAN	ZNF692	Zinc finger protein 692	1	519
Q9BV86	NTM1A_HUMAN	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	1	223
Q9BY41	HDAC8_HUMAN	HDAC8	Histone deacetylase 8	1	377
Q9C0G0	ZN407_HUMAN	ZNF407	Zinc finger protein 407	1	2248
Q9C0I4	THS7B_HUMAN	THSD7B	Thrombospondin type-1 domain-containing protein 7B	1	1606
Q9GZN7	ROGDI_HUMAN	ROGDI	Protein rogdi homolog	1	287
Q9GZU0	CF062_HUMAN	C6orf62	Uncharacterized protein C6orf62	1	229
Q9GZV5	WWTR1_HUMAN	WWTR1	WW domain-containing transcription regulator protein 1	1	400
Q9H0E9	BRD8_HUMAN	BRD8	Bromodomain-containing protein 8	1	1235
Q9H720	PG2IP_HUMAN	CWH43	PGAP2-interacting protein	1	699
Q9H7J1	PPR3E_HUMAN	PPP1R3E	Protein phosphatase 1 regulatory subunit 3E	1	279
Q9HAT2	SIAE_HUMAN	SIAE	Sialate O-acetylesterase	1	523
Q9NSQ0	RRP7B_HUMAN	RRP7BP	Putative ribosomal RNA-processing protein 7 homolog B	5	103
Q9NUD7	CT096_HUMAN	C20orf96	Uncharacterized protein C20orf96	1	363
Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	1	866
Q9P104	DOK5_HUMAN	DOK5	Docking protein 5	1	306
Q9UK58	CCNL1_HUMAN	CCNL1	Cyclin-L1	1	526
Q9UKV0	HDAC9_HUMAN	HDAC9	Histone deacetylase 9	1	1011
Q9UL42	PNMA2_HUMAN	PNMA2	Paraneoplastic antigen Ma2	1	364
Q9UMQ6	CAN11_HUMAN	CAPN11	Calpain-11	1	739
Q9UMR3	TBX20_HUMAN	TBX20	T-box transcription factor TBX20	1	447
Q9UMX1	SUFU_HUMAN	SUFU	Suppressor of fused homolog	1	484
Q9Y2G3	AT11B_HUMAN	ATP11B	Phospholipid-transporting ATPase IF	1	1177
Q9Y4E6	WDR7_HUMAN	WDR7	WD repeat-containing protein 7	1	1490
A0A075B706	TRDJ1_HUMAN	TRDJ1	T cell receptor delta joining 1	1	16
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	1	164
A0A087WT01	TVA27_HUMAN	TRAV27	T cell receptor alpha variable 27	1	109
A6NI61	MYMK_HUMAN	MYMK	Protein myomaker	1	221
A8MUP6	GS1L2_HUMAN	GSG1L2	Germ cell-specific gene 1-like protein 2	3	293
O15165	LRAD4_HUMAN	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4	1	306
O43681	GET3_HUMAN	GET3	ATPase GET3	1	348
O60309	L37A3_HUMAN	LRRC37A3	Leucine-rich repeat-containing protein 37A3	1	1634
O75078	ADA11_HUMAN	ADAM11	Disintegrin and metalloproteinase domain-containing protein 11	1	769
O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	1	113
O95445	APOM_HUMAN	APOM	Apolipoprotein M	1	188
P01178	NEU1_HUMAN	OXT	Oxytocin-neurophysin 1 proprotein	1	125
P08311	CATG_HUMAN	CTSG	Cathepsin G	1	255
P0DJD9	PEPA5_HUMAN	PGA5	Pepsin A-5	1	388
P0DJH9	RD3L_HUMAN	RD3L	Protein RD3-like	4	198
P12035	K2C3_HUMAN	KRT3	Keratin, type II cytoskeletal 3	1	628
P12104	FABPI_HUMAN	FABP2	Fatty acid-binding protein, intestinal	1	132
P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	1	404
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	1	427
P29033	CXB2_HUMAN	GJB2	Gap junction beta-2 protein	1	226
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	1	261
P31267	HXA6_HUMAN	HOXA6	Homeobox protein Hox-A6	1	233
P35580	MYH10_HUMAN	MYH10	Myosin-10	1	1976
P55055	NR1H2_HUMAN	NR1H2	Oxysterols receptor LXR-beta	1	460
P55773	CCL23_HUMAN	CCL23	C-C motif chemokine 23	1	120
P56278	MTCP1_HUMAN	MTCP1	Protein p13 MTCP-1	1	107
P56705	WNT4_HUMAN	WNT4	Protein Wnt-4	1	351
P82980	RET5_HUMAN	RBP5	Retinol-binding protein 5	1	135
P98164	LRP2_HUMAN	LRP2	Low-density lipoprotein receptor-related protein 2	1	4655
Q01954	BNC1_HUMAN	BNC1	Zinc finger protein basonuclin-1	1	994
Q05BV3	EMAL5_HUMAN	EML5	Echinoderm microtubule-associated protein-like 5	1	1969
Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13	1	2813
Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20	1	228
Q14088	RB33A_HUMAN	RAB33A	Ras-related protein Rab-33A	1	237
Q147U1	ZN846_HUMAN	ZNF846	Zinc finger protein 846	1	533
Q16515	ASIC2_HUMAN	ASIC2	Acid-sensing ion channel 2	1	512
Q16594	TAF9_HUMAN	TAF9	Transcription initiation factor TFIID subunit 9	1	264
Q5SQ80	A20A2_HUMAN	ANKRD20A2P	Putative ankyrin repeat domain-containing protein 20A2	5	823
Q5TA81	LCE2C_HUMAN	LCE2C	Late cornified envelope protein 2C	1	110
Q5VTL8	PR38B_HUMAN	PRPF38B	Pre-mRNA-splicing factor 38B	1	546
Q6UWB1	I27RA_HUMAN	IL27RA	Interleukin-27 receptor subunit alpha	1	636
Q6ZMH5	S39A5_HUMAN	SLC39A5	Zinc transporter ZIP5	1	540
Q6ZMP0	THSD4_HUMAN	THSD4	Thrombospondin type-1 domain-containing protein 4	1	1018
Q6ZNE9	RUFY4_HUMAN	RUFY4	RUN and FYVE domain-containing protein 4	1	571
Q71F56	MD13L_HUMAN	MED13L	Mediator of RNA polymerase II transcription subunit 13-like	1	2210
Q7RTT3	SSX9_HUMAN	SSX9P	Putative protein SSX9	5	188
Q7Z407	CSMD3_HUMAN	CSMD3	CUB and sushi domain-containing protein 3	1	3707
Q86TX2	ACOT1_HUMAN	ACOT1	Acyl-coenzyme A thioesterase 1	1	421
Q86UF1	TSN33_HUMAN	TSPAN33	Tetraspanin-33	1	283
Q86UZ6	ZBT46_HUMAN	ZBTB46	Zinc finger and BTB domain-containing protein 46	1	589
Q86VD9	PIGZ_HUMAN	PIGZ	GPI alpha-1,2-mannosyltransferase 4	1	579
Q86VE3	SATL1_HUMAN	SATL1	Spermidine/spermine N(1)-acetyltransferase-like protein 1	1	695
Q86WH2	RASF3_HUMAN	RASSF3	Ras association domain-containing protein 3	1	238
Q86YS6	RAB43_HUMAN	RAB43	Ras-related protein Rab-43	1	212
Q8IV56	PRR15_HUMAN	PRR15	Proline-rich protein 15	1	129
Q8IWT3	CUL9_HUMAN	CUL9	Cullin-9	1	2517
Q8IXZ3	SP8_HUMAN	SP8	Transcription factor Sp8	1	490
Q8N4L1	T151A_HUMAN	TMEM151A	Transmembrane protein 151A	1	468
Q8N8Z3	PRR26_HUMAN	DIP2C-AS1	Putative uncharacterized protein DIP2C-AS1	2	221
Q8NE22	SETD9_HUMAN	SETD9	SET domain-containing protein 9	1	299
Q8NG85	OR2L3_HUMAN	OR2L3	Olfactory receptor 2L3	2	312
Q8NGP9	O5AR1_HUMAN	OR5AR1	Olfactory receptor 5AR1	3	310
Q8NGX2	O2T35_HUMAN	OR2T35	Olfactory receptor 2T35	3	323
Q8TAB5	CA216_HUMAN	C1orf216	UPF0500 protein C1orf216	1	229
Q8TB40	ABHD4_HUMAN	ABHD4	(Lyso)-N-acylphosphatidylethanolamine lipase	1	342
Q8TBY0	RBM46_HUMAN	RBM46	Probable RNA-binding protein 46	1	533
Q8TC07	TBC15_HUMAN	TBC1D15	TBC1 domain family member 15	1	691
Q8TE54	S26A7_HUMAN	SLC26A7	Anion exchange transporter	1	656
Q8TE76	MORC4_HUMAN	MORC4	MORC family CW-type zinc finger protein 4	1	937
Q969M1	TM40L_HUMAN	TOMM40L	Mitochondrial import receptor subunit TOM40B	1	308
Q96DC9	OTUB2_HUMAN	OTUB2	Ubiquitin thioesterase OTUB2	1	234
Q96JF6	ZN594_HUMAN	ZNF594	Zinc finger protein 594	1	807
Q96LR2	LURA1_HUMAN	LURAP1	Leucine rich adaptor protein 1	1	239
Q96PL1	SG3A2_HUMAN	SCGB3A2	Secretoglobin family 3A member 2	1	93
Q96S94	CCNL2_HUMAN	CCNL2	Cyclin-L2	1	520
Q96T21	SEBP2_HUMAN	SECISBP2	Selenocysteine insertion sequence-binding protein 2	1	854
Q99424	ACOX2_HUMAN	ACOX2	Peroxisomal acyl-coenzyme A oxidase 2	1	681
Q99502	EYA1_HUMAN	EYA1	Protein phosphatase EYA1	1	592
Q9BV97	ZN747_HUMAN	ZNF747	Zinc finger protein 747	1	330
Q9BVW5	TIPIN_HUMAN	TIPIN	TIMELESS-interacting protein	1	301
Q9BY19	M4A8_HUMAN	MS4A8	Membrane-spanning 4-domains subfamily A member 8	1	250
Q9BYE7	PCGF6_HUMAN	PCGF6	Polycomb group RING finger protein 6	1	350
Q9BZA0	TTY10_HUMAN	TTTY10	Putative transcript Y 10 protein	5	68
Q9H7Z6	KAT8_HUMAN	KAT8	Histone acetyltransferase KAT8	1	458
Q9HBH9	MKNK2_HUMAN	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2	1	465
Q9HCH3	CPNE5_HUMAN	CPNE5	Copine-5	1	593
Q9HD40	SPCS_HUMAN	SEPSECS	O-phosphoseryl-tRNA(Sec) selenium transferase	1	501
Q9NPA3	M1IP1_HUMAN	MID1IP1	Mid1-interacting protein 1	1	183
Q9NR99	MXRA5_HUMAN	MXRA5	Matrix-remodeling-associated protein 5	1	2828
Q9NRQ2	PLS4_HUMAN	PLSCR4	Phospholipid scramblase 4	1	329
Q9NYZ2	MFRN1_HUMAN	SLC25A37	Mitoferrin-1	1	338
Q9P2D3	HTR5B_HUMAN	HEATR5B	HEAT repeat-containing protein 5B	1	2071
Q9UBX7	KLK11_HUMAN	KLK11	Kallikrein-11	1	282
Q9UEU5	GGE2D_HUMAN	GAGE2D	G antigen 2D	1	116
Q9UIL1	SCOC_HUMAN	SCOC	Short coiled-coil protein	1	159
Q9UKU6	TRHDE_HUMAN	TRHDE	Thyrotropin-releasing hormone-degrading ectoenzyme	1	1069
Q9UL17	TBX21_HUMAN	TBX21	T-box transcription factor TBX21	1	535
Q9UPX8	SHAN2_HUMAN	SHANK2	SH3 and multiple ankyrin repeat domains protein 2	1	1849
Q9Y210	TRPC6_HUMAN	TRPC6	Short transient receptor potential channel 6	1	931
Q9Y284	ASTER_HUMAN	WDR83OS	PAT complex subunit Asterix	1	106
A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43	1	118
A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C	2	164
A0A1B0GUW6	SPEM3_HUMAN	SPEM3	Uncharacterized protein SPEM3	1	1196
A0PJX2	TLDC2_HUMAN	TLDC2	TLD domain-containing protein 2	1	215
A5D8W1	CFA69_HUMAN	CFAP69	Cilia- and flagella-associated protein 69	1	941
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	417
A6NCL7	AN33B_HUMAN	ANKRD33B	Ankyrin repeat domain-containing protein 33B	1	494
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	1	919
A6NJR5	SPDL3_HUMAN		Putative speedy protein-like protein 3	5	290
A6NKQ9	CGB1_HUMAN	CGB1	Choriogonadotropin subunit beta variant 1	2	187
A6NL46	YF016_HUMAN		Putative UPF0607 protein ENSP00000332738	3	340
A6NNC1	P12LL_HUMAN		Putative POM121-like protein 1-like	5	897
A8MQ14	ZN850_HUMAN	ZNF850	Zinc finger protein 850	1	1090
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	1	800
A8MV72	YH009_HUMAN		Putative UPF0607 protein ENSP00000382826	5	311
A8MVM7	YD021_HUMAN		Putative uncharacterized protein ENSP00000382790	5	634
O00748	EST2_HUMAN	CES2	Cocaine esterase	1	559
O15056	SYNJ2_HUMAN	SYNJ2	Polyphosphatidylinositol phosphatase SYNJ2	1	1496
O15342	VA0E1_HUMAN	ATP6V0E1	V-type proton ATPase subunit e 1	1	81
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1	492
O60675	MAFK_HUMAN	MAFK	Transcription factor MafK	1	156
O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	1	2136
O94769	ECM2_HUMAN	ECM2	Extracellular matrix protein 2	1	699
O95992	CH25H_HUMAN	CH25H	Cholesterol 25-hydroxylase	1	272
P06454	PTMA_HUMAN	PTMA	Prothymosin alpha	1	111
P07327	ADH1A_HUMAN	ADH1A	Alcohol dehydrogenase 1A	1	375
P08908	5HT1A_HUMAN	HTR1A	5-hydroxytryptamine receptor 1A	1	422
P0DV77	TPRX2_HUMAN	TPRX2	Tetrapeptide repeat homeobox protein 2	2	301
P17275	JUNB_HUMAN	JUNB	Transcription factor JunB	1	347
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	1	353
P35212	CXA4_HUMAN	GJA4	Gap junction alpha-4 protein	1	333
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	1	128
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	1	454
P43268	ETV4_HUMAN	ETV4	ETS translocation variant 4	1	484
P43694	GATA4_HUMAN	GATA4	Transcription factor GATA-4	1	442
P50591	TNF10_HUMAN	TNFSF10	Tumor necrosis factor ligand superfamily member 10	1	281
P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	1	2863
P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	1	240
P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	1	172
P54764	EPHA4_HUMAN	EPHA4	Ephrin type-A receptor 4	1	986
P58005	SESN3_HUMAN	SESN3	Sestrin-3	1	492
P62310	LSM3_HUMAN	LSM3	U6 snRNA-associated Sm-like protein LSm3	1	102
Q00532	CDKL1_HUMAN	CDKL1	Cyclin-dependent kinase-like 1	1	357
Q00587	BORG5_HUMAN	CDC42EP1	Cdc42 effector protein 1	1	391
Q13617	CUL2_HUMAN	CUL2	Cullin-2	1	745
Q14584	ZN266_HUMAN	ZNF266	Zinc finger protein 266	1	549
Q15031	SYLM_HUMAN	LARS2	Leucine--tRNA ligase, mitochondrial	1	903
Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	1	365
Q309B1	TR16L_HUMAN	TRIM16L	Tripartite motif-containing protein 16-like protein	1	348
Q53HL2	BOREA_HUMAN	CDCA8	Borealin	1	280
Q5TCM9	LCE5A_HUMAN	LCE5A	Late cornified envelope protein 5A	1	118
Q5VZB9	DMRTA_HUMAN	DMRTA1	Doublesex- and mab-3-related transcription factor A1	1	504
Q5W0U4	BSPRY_HUMAN	BSPRY	B box and SPRY domain-containing protein	1	402
Q5W150	YT011_HUMAN		Putative uncharacterized protein MGC163334	1	140
Q6NUK1	SCMC1_HUMAN	SLC25A24	Mitochondrial adenyl nucleotide antiporter SLC25A24	1	477
Q6PK81	ZN773_HUMAN	ZNF773	Zinc finger protein 773	1	442
Q6ZS92	YD022_HUMAN		Putative uncharacterized protein FLJ45721	5	163
Q6ZSR6	YP007_HUMAN		Putative uncharacterized protein FLJ45256	2	202
Q7L5A8	FA2H_HUMAN	FA2H	Fatty acid 2-hydroxylase	1	372
Q7Z4I7	LIMS2_HUMAN	LIMS2	LIM and senescent cell antigen-like-containing domain protein 2	1	341
Q86SQ0	PHLB2_HUMAN	PHLDB2	Pleckstrin homology-like domain family B member 2	1	1253
Q86VY9	T200A_HUMAN	TMEM200A	Transmembrane protein 200A	1	491
Q8N127	O5AS1_HUMAN	OR5AS1	Olfactory receptor 5AS1	1	324
Q8N531	FBXL6_HUMAN	FBXL6	F-box/LRR-repeat protein 6	1	539
Q8N814	YG045_HUMAN		Putative uncharacterized protein FLJ40140	5	137
Q8N976	YG039_HUMAN		Putative uncharacterized protein FLJ38264	5	141
Q8N9P0	YF006_HUMAN		Putative uncharacterized protein FLJ36797	5	234
Q8N9W6	BOLL_HUMAN	BOLL	Protein boule-like	1	283
Q8NDT2	RB15B_HUMAN	RBM15B	Putative RNA-binding protein 15B	1	890
Q8WU76	SCFD2_HUMAN	SCFD2	Sec1 family domain-containing protein 2	1	684
Q92963	RIT1_HUMAN	RIT1	GTP-binding protein Rit1	1	219
